degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
2.580645084381103516e-01,3.225806355476379395e-01,9.346652776002883911e-02,4.477573037147521973e-01,3.674395084381103516e-01,7.920349016785621643e-03,2.843833267688751221e-01,6.283342838287353516e-01
2.500000000000000000e-01,9.032258391380310059e-02,3.965578600764274597e-02,3.698924779891967773e-01,3.212586045265197754e-01,7.659006514586508274e-04,3.181818127632141113e-01,4.983603656291961670e-01
1.428571492433547974e-01,1.483870893716812134e-01,8.979848027229309082e-02,4.475268721580505371e-01,3.906333744525909424e-01,6.175584625452756882e-03,2.569169998168945312e-01,3.328498899936676025e-01
2.500000000000000000e-01,1.677419394254684448e-01,7.582003623247146606e-02,4.233333468437194824e-01,3.629032373428344727e-01,3.306821919977664948e-03,2.826086878776550293e-01,4.502373933792114258e-01
3.333333432674407959e-01,8.387096971273422241e-02,4.541479423642158508e-02,4.050537645816802979e-01,3.636346161365509033e-01,1.271376037038862705e-03,2.454545497894287109e-01,3.830006718635559082e-01
3.333333432674407959e-01,1.741935461759567261e-01,9.575184434652328491e-02,4.450537562370300293e-01,3.720906376838684082e-01,1.433358341455459595e-02,2.749287784099578857e-01,3.790137767791748047e-01
3.043478131294250488e-01,2.129032313823699951e-01,1.065425723791122437e-01,4.529032111167907715e-01,3.768610358238220215e-01,8.967815898358821869e-03,3.075268864631652832e-01,4.135934710502624512e-01
3.333333432674407959e-01,1.677419394254684448e-01,8.530546724796295166e-02,4.536559283733367920e-01,3.932462930679321289e-01,4.611204843968153000e-03,2.228260934352874756e-01,2.826566100120544434e-01
1.923076957464218140e-01,2.645161151885986328e-01,1.058971956372261047e-01,4.534408748149871826e-01,3.768610358238220215e-01,4.434411413967609406e-03,3.574938476085662842e-01,5.814805030822753906e-01
1.666666716337203979e-01,2.258064448833465576e-01,9.784377366304397583e-02,4.447465538978576660e-01,3.573879897594451904e-01,5.096768960356712341e-03,3.285984992980957031e-01,4.939264357089996338e-01
2.500000000000000000e-01,9.032258391380310059e-02,4.620791971683502197e-02,3.788172006607055664e-01,3.284375667572021484e-01,3.674953768495470285e-04,3.863636255264282227e-01,3.992775380611419678e-01
3.750000000000000000e-01,2.580645084381103516e-01,1.406937688589096069e-01,4.937634468078613281e-01,4.082661271095275879e-01,1.062874775379896164e-02,3.091168105602264404e-01,3.721886575222015381e-01
2.608695626258850098e-01,2.193548381328582764e-01,7.225278764963150024e-02,4.051612913608551025e-01,3.330896496772766113e-01,3.361826762557029724e-03,2.772177457809448242e-01,5.186291337013244629e-01
2.500000000000000000e-01,1.548387110233306885e-01,5.848749354481697083e-02,3.874347209930419922e-01,3.248084187507629395e-01,1.101505244150757790e-03,3.760869503021240234e-01,5.739315152168273926e-01
8.333333581686019897e-02,1.290322542190551758e-01,5.819635838270187378e-02,4.170967638492584229e-01,3.629032373428344727e-01,1.180334389209747314e-02,2.385620921850204468e-01,3.830520808696746826e-01
1.818181872367858887e-01,1.870967745780944824e-01,9.040962159633636475e-02,4.475268721580505371e-01,3.780728280544281006e-01,5.600808188319206238e-03,3.209876418113708496e-01,4.405435323715209961e-01
3.750000000000000000e-01,1.677419394254684448e-01,7.014293968677520752e-02,4.168817102909088135e-01,3.541585803031921387e-01,2.458689967170357704e-03,2.800000011920928955e-01,4.673031866550445557e-01
1.250000000000000000e-01,1.741935461759567261e-01,7.546803355216979980e-02,4.146390259265899658e-01,3.499423861503601074e-01,2.413853537291288376e-03,3.449999988079071045e-01,5.220635533332824707e-01
1.481481492519378662e-01,1.870967745780944824e-01,4.803809523582458496e-02,3.752841651439666748e-01,3.177855312824249268e-01,1.493044430390000343e-03,1.880341917276382446e-01,6.441536545753479004e-01
3.636363744735717773e-01,1.419354826211929321e-01,7.582125067710876465e-02,4.359293282032012939e-01,3.720906376838684082e-01,2.434455789625644684e-03,2.460317462682723999e-01,3.171213865280151367e-01
2.857142984867095947e-01,2.129032313823699951e-01,7.678473740816116333e-02,4.280798733234405518e-01,3.509869873523712158e-01,7.943680509924888611e-03,2.407809048891067505e-01,4.939490854740142822e-01
1.333333402872085571e-01,2.193548381328582764e-01,9.179273247718811035e-02,4.520429968833923340e-01,3.842504620552062988e-01,1.223666965961456299e-02,2.450980395078659058e-01,4.892057180404663086e-01
1.818181872367858887e-01,1.161290332674980164e-01,3.619010746479034424e-02,3.735637366771697998e-01,3.248084187507629395e-01,1.769908354617655277e-03,2.254901975393295288e-01,5.119919180870056152e-01
4.000000059604644775e-01,9.032258391380310059e-02,4.192011058330535889e-02,3.899999856948852539e-01,3.448112905025482178e-01,1.408501644618809223e-03,1.813186854124069214e-01,4.568813443183898926e-01
2.352941185235977173e-01,1.612903177738189697e-01,5.554512143135070801e-02,3.908755779266357422e-01,3.266128897666931152e-01,1.915342174470424652e-03,3.591269850730895996e-01,5.994311571121215820e-01
2.222222238779067993e-01,2.451612949371337891e-01,1.244187131524085999e-01,4.860215187072753906e-01,4.199308753013610840e-01,1.887786015868186951e-02,2.404761910438537598e-01,4.110378921031951904e-01
1.666666716337203979e-01,1.677419394254684448e-01,8.787335455417633057e-02,4.518279433250427246e-01,3.880549371242523193e-01,4.783567972481250763e-03,1.876923143863677979e-01,4.266767203807830811e-01
2.692307829856872559e-01,1.677419394254684448e-01,7.111039757728576660e-02,4.146236479282379150e-01,3.563049733638763428e-01,5.204434506595134735e-03,2.581818103790283203e-01,4.781926572322845459e-01
2.000000029802322388e-01,1.677419394254684448e-01,7.095789164304733276e-02,4.256989359855651855e-01,3.595738410949707031e-01,4.388027358800172806e-03,2.738461494445800781e-01,4.630347788333892822e-01
