degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
2.456140369176864624e-01,3.212121129035949707e-01,8.941711485385894775e-02,4.755122661590576172e-01,3.917967677116394043e-01,6.616318132728338242e-03,2.710795998573303223e-01,5.623442530632019043e-01
2.027027010917663574e-01,4.303030371665954590e-01,1.039493829011917114e-01,4.942496418952941895e-01,3.957946896553039551e-01,1.909354142844676971e-02,3.308319151401519775e-01,6.334722638130187988e-01
2.048192769289016724e-01,3.575757443904876709e-01,7.310147583484649658e-02,4.446536898612976074e-01,3.650623857975006104e-01,3.977630753070116043e-03,3.084170818328857422e-01,6.750364303588867188e-01
2.500000000000000000e-01,4.060606062412261963e-01,1.361906081438064575e-01,5.338960886001586914e-01,4.262404143810272217e-01,3.137536346912384033e-02,2.598842680454254150e-01,4.597046077251434326e-01
1.956521719694137573e-01,4.545454680919647217e-01,4.041971266269683838e-02,3.984920680522918701e-01,3.336591720581054688e-01,2.539145760238170624e-03,2.791141569614410400e-01,7.989044189453125000e-01
1.882352977991104126e-01,3.636363744735717773e-01,6.725736707448959351e-02,4.497546851634979248e-01,3.812076449394226074e-01,1.417256984859704971e-02,2.591130137443542480e-01,6.800793409347534180e-01
1.884057968854904175e-01,3.393939435482025146e-01,5.066209286451339722e-02,4.200577139854431152e-01,3.502291440963745117e-01,2.976378193125128746e-03,2.817543745040893555e-01,7.232398986816406250e-01
1.804511249065399170e-01,4.848484992980957031e-01,8.479354530572891235e-02,4.689466059207916260e-01,3.859490454196929932e-01,2.442074753344058990e-02,2.346256673336029053e-01,6.878665089607238770e-01
2.500000000000000000e-01,1.212121248245239258e-01,4.057623073458671570e-02,4.110173285007476807e-01,3.494403362274169922e-01,2.077713143080472946e-03,3.210526406764984131e-01,5.510486960411071777e-01
2.340425550937652588e-01,2.666666805744171143e-01,4.128962382674217224e-02,3.975829780101776123e-01,3.308134675025939941e-01,1.271491288207471371e-03,2.592788934707641602e-01,6.509488821029663086e-01
2.016129046678543091e-01,5.272727012634277344e-01,9.331081062555313110e-02,4.864213466644287109e-01,4.040403962135314941e-01,2.455106563866138458e-02,2.210378646850585938e-01,6.551330685615539551e-01
