degree_ratio,degree_centrality,eigenvector_centrality,harmonic_centrality,closeness_centrality,betweenness_centrality,clustering_coefficients,PrestigeRank
4.000000059604644775e-01,1.000000014901161194e-01,4.964824020862579346e-02,4.172916710376739502e-01,3.630252182483673096e-01,0.000000000000000000e+00,4.560439586639404297e-01,3.344958722591400146e-01
2.677595615386962891e-01,6.937500238418579102e-01,1.182336881756782532e-01,5.043749809265136719e-01,4.218028187751770020e-01,4.527400434017181396e-02,1.974961608648300171e-01,6.124149560928344727e-01
2.452830225229263306e-01,3.437500000000000000e-01,1.029802709817886353e-01,4.845833480358123779e-01,4.096354246139526367e-01,1.128568779677152634e-02,2.311046570539474487e-01,4.910271763801574707e-01
2.564102709293365479e-01,3.000000119209289551e-01,9.251465648412704468e-02,4.892708361148834229e-01,4.190368950366973877e-01,9.359180927276611328e-03,1.907719671726226807e-01,4.452169239521026611e-01
1.710526347160339355e-01,4.375000000000000000e-01,1.082137301564216614e-01,4.981249868869781494e-01,4.176674783229827881e-01,1.299438066780567169e-02,2.182417511940002441e-01,5.050066113471984863e-01
1.250000000000000000e-01,1.749999970197677612e-01,7.114117592573165894e-02,4.530208408832550049e-01,3.896532058715820312e-01,2.890537260100245476e-03,3.201058208942413330e-01,4.283646047115325928e-01
1.923076957464218140e-01,2.812500000000000000e-01,9.038993716239929199e-02,4.833333194255828857e-01,4.070262610912322998e-01,1.238199975341558456e-02,2.823886573314666748e-01,4.864153861999511719e-01
2.352941185235977173e-01,1.875000000000000000e-01,3.332575410604476929e-02,3.945833444595336914e-01,3.363322317600250244e-01,1.429389347322285175e-03,2.712643742561340332e-01,6.406430602073669434e-01
4.000000059604644775e-01,1.250000000000000000e-01,6.392224133014678955e-02,4.410416781902313232e-01,3.861216008663177490e-01,2.502489369362592697e-03,2.810457646846771240e-01,2.405035495758056641e-01
3.333333432674407959e-01,1.312499940395355225e-01,6.807806342840194702e-02,4.536458253860473633e-01,3.987692296504974365e-01,0.000000000000000000e+00,3.274853825569152832e-01,2.430057227611541748e-01
2.222222238779067993e-01,1.937499940395355225e-01,1.549818553030490875e-02,3.418749868869781494e-01,3.000146746635437012e-01,1.974001061171293259e-04,3.185185194015502930e-01,7.897834181785583496e-01
2.500000000000000000e-01,4.124999940395355225e-01,1.026732921600341797e-01,4.958333373069763184e-01,4.218028187751770020e-01,2.372803352773189545e-02,2.444113194942474365e-01,5.547652244567871094e-01
3.214285671710968018e-01,2.249999940395355225e-01,7.000188529491424561e-02,4.448958337306976318e-01,3.770096004009246826e-01,4.200930707156658173e-03,2.170111238956451416e-01,4.531299471855163574e-01
2.045454531908035278e-01,3.125000000000000000e-01,9.749666601419448853e-02,4.838541746139526367e-01,4.190368950366973877e-01,1.986605674028396606e-02,2.537777721881866455e-01,5.010557174682617188e-01
2.399999946355819702e-01,4.437499940395355225e-01,1.997481733560562134e-01,5.874999761581420898e-01,4.896791279315948486e-01,2.196420170366764069e-02,2.272727340459823608e-01,3.227085471153259277e-01
2.745098173618316650e-01,3.562499880790710449e-01,8.620358258485794067e-02,4.735416769981384277e-01,3.884688317775726318e-01,1.005888730287551880e-02,2.535496950149536133e-01,5.336669683456420898e-01
2.142857164144515991e-01,3.874999880790710449e-01,1.415586471557617188e-01,5.307291746139526367e-01,4.580869078636169434e-01,2.055261470377445221e-02,2.064479589462280273e-01,4.138701260089874268e-01
2.923077046871185303e-01,3.812499940395355225e-01,8.668754994869232178e-02,4.653125107288360596e-01,3.896532058715820312e-01,7.034950889647006989e-03,1.889994144439697266e-01,5.185942649841308594e-01
3.499999940395355225e-01,2.249999940395355225e-01,8.202730119228363037e-02,4.640625119209289551e-01,3.969138264656066895e-01,6.885048467665910721e-03,2.707006335258483887e-01,4.355525374412536621e-01
1.666666716337203979e-01,2.000000029802322388e-01,6.501719355583190918e-02,4.405208230018615723e-01,3.683177232742309570e-01,5.526904016733169556e-03,3.114919364452362061e-01,4.471240043640136719e-01
2.592592537403106689e-01,1.937499940395355225e-01,6.258656829595565796e-02,4.386458396911621094e-01,3.737024962902069092e-01,6.552929058670997620e-03,2.715517282485961914e-01,4.675276279449462891e-01
1.724137961864471436e-01,2.562499940395355225e-01,8.169499039649963379e-02,4.606249928474426270e-01,3.932499885559082031e-01,2.839644672349095345e-03,2.638700902462005615e-01,4.542878270149230957e-01
1.724137961864471436e-01,2.312500029802322388e-01,5.395122244954109192e-02,4.209375083446502686e-01,3.463583886623382568e-01,1.203892170451581478e-03,3.246205747127532959e-01,5.432479977607727051e-01
1.875000000000000000e-01,1.749999970197677612e-01,4.966406524181365967e-02,4.126041531562805176e-01,3.463583886623382568e-01,1.755891484208405018e-03,2.969230711460113525e-01,4.955355525016784668e-01
2.769230902194976807e-01,2.937499880790710449e-01,5.639595165848731995e-02,4.237500131130218506e-01,3.580006957054138184e-01,2.887916984036564827e-03,2.124304324388504028e-01,6.147354841232299805e-01
1.956521719694137573e-01,3.437500000000000000e-01,8.142205327749252319e-02,4.710416793823242188e-01,4.044501483440399170e-01,1.991702243685722351e-02,2.065363824367523193e-01,5.079367756843566895e-01
1.666666716337203979e-01,1.812500059604644775e-01,8.868984878063201904e-02,4.707291722297668457e-01,4.057341217994689941e-01,8.174452930688858032e-03,2.918719351291656494e-01,2.886375486850738525e-01
2.941176593303680420e-01,2.000000029802322388e-01,4.485524445772171021e-02,4.005208313465118408e-01,3.372196555137634277e-01,2.677418058738112450e-03,3.156681954860687256e-01,5.730125308036804199e-01
2.571428716182708740e-01,3.000000119209289551e-01,1.022745966911315918e-01,4.913541674613952637e-01,4.070262610912322998e-01,7.016648072749376297e-03,2.699822485446929932e-01,4.526190459728240967e-01
2.500000000000000000e-01,9.375000000000000000e-02,5.044857040047645569e-02,4.252083301544189453e-01,3.747983872890472412e-01,2.466514939442276955e-03,2.190476208925247192e-01,2.512917816638946533e-01
2.500000000000000000e-01,3.000000119209289551e-01,8.352335542440414429e-02,4.684374928474426270e-01,4.019064605236053467e-01,1.436261273920536041e-02,1.979670822620391846e-01,4.864134192466735840e-01
3.809523880481719971e-01,1.812500059604644775e-01,7.602657377719879150e-02,4.608333408832550049e-01,4.044501483440399170e-01,3.840937511995434761e-03,2.785714268684387207e-01,4.321679472923278809e-01
1.818181872367858887e-01,2.312500029802322388e-01,9.221951663494110107e-02,4.741666615009307861e-01,3.981503248214721680e-01,3.292641369625926018e-03,3.347386121749877930e-01,4.059366583824157715e-01
9.090909361839294434e-02,1.062500029802322388e-01,1.935212500393390656e-02,3.604166805744171143e-01,3.147937059402465820e-01,2.407886931905522943e-04,3.222222328186035156e-01,5.860075950622558594e-01
3.333333432674407959e-01,1.375000029802322388e-01,7.427811622619628906e-02,4.543749988079071045e-01,3.981503248214721680e-01,7.197140948846936226e-04,2.510822415351867676e-01,2.559175193309783936e-01
1.764705926179885864e-01,2.437500059604644775e-01,8.059662580490112305e-02,4.681249856948852539e-01,4.031742811203002930e-01,5.096213892102241516e-03,2.507507503032684326e-01,4.661757946014404297e-01
2.000000029802322388e-01,1.500000059604644775e-01,4.107968881726264954e-02,4.001041650772094727e-01,3.472996056079864502e-01,2.046806737780570984e-03,1.774891763925552368e-01,4.380727708339691162e-01
1.923076957464218140e-01,2.812500000000000000e-01,5.969656258821487427e-02,4.444791674613952637e-01,3.838025629520416260e-01,9.000243619084358215e-03,2.184024304151535034e-01,5.841481089591979980e-01
7.142857462167739868e-02,2.000000029802322388e-01,6.815396994352340698e-02,4.577083289623260498e-01,3.908447921276092529e-01,4.554179031401872635e-03,3.070707023143768311e-01,4.465915560722351074e-01
2.452830225229263306e-01,2.937499880790710449e-01,9.740569442510604858e-02,4.736458361148834229e-01,4.057341217994689941e-01,4.645113833248615265e-03,2.196969687938690186e-01,4.625100195407867432e-01
1.666666716337203979e-01,2.812500000000000000e-01,1.489130556583404541e-01,5.328124761581420898e-01,4.664461612701416016e-01,1.933733560144901276e-02,2.325581461191177368e-01,2.712149024009704590e-01
1.875000000000000000e-01,2.437500059604644775e-01,8.376296609640121460e-02,4.708333313465118408e-01,4.109525680541992188e-01,6.381438113749027252e-03,2.692828178405761719e-01,4.699584841728210449e-01
2.000000029802322388e-01,1.250000000000000000e-01,7.017400860786437988e-02,4.486458301544189453e-01,3.956849873065948486e-01,6.020482629537582397e-03,3.366013169288635254e-01,2.521419227123260498e-01
5.000000000000000000e-01,2.000000029802322388e-01,1.191140189766883850e-01,5.116666555404663086e-01,4.422361552715301514e-01,8.613669313490390778e-03,2.217741906642913818e-01,1.867162883281707764e-01
2.307692319154739380e-01,1.187499985098838806e-01,3.635407984256744385e-02,3.883333206176757812e-01,3.345713317394256592e-01,3.718754160217940807e-04,2.610294222831726074e-01,4.756075739860534668e-01
1.749999970197677612e-01,3.437500000000000000e-01,1.038037016987800598e-01,4.965625107288360596e-01,4.231995046138763428e-01,2.335645817220211029e-02,1.703056842088699341e-01,4.431523978710174561e-01
1.851851791143417358e-01,2.062499970197677612e-01,5.904832482337951660e-02,4.334374964237213135e-01,3.651607036590576172e-01,2.182684838771820068e-03,2.112068980932235718e-01,4.533198177814483643e-01
2.307692319154739380e-01,2.624999880790710449e-01,9.467641264200210571e-02,4.743750095367431641e-01,4.006465375423431396e-01,5.807766690850257874e-03,1.935897469520568848e-01,3.758453428745269775e-01
2.800000011920928955e-01,2.000000029802322388e-01,7.733958214521408081e-02,4.597916603088378906e-01,3.884688317775726318e-01,1.791817601770162582e-03,3.424242436885833740e-01,4.669031798839569092e-01
2.222222238779067993e-01,2.374999970197677612e-01,1.085152551531791687e-01,4.955208301544189453e-01,4.288800358772277832e-01,5.737120751291513443e-03,2.412698417901992798e-01,3.540446758270263672e-01
3.703703582286834717e-01,1.875000000000000000e-01,6.437166035175323486e-02,4.465624988079071045e-01,3.861216008663177490e-01,2.795545617118477821e-03,2.534562349319458008e-01,4.893181622028350830e-01
